,Re. error,Adv. error,Rot. error,RMS
RBF-CAT+MoE_T_R4,0.024806542322039604,0.1507752537727356,3.2222466468811035,0.049909661789591074
RBF-CAT+MoE_T_R5,0.03437967225909233,0.16888779401779175,3.233884811401367,0.050498688142307034
VAE-IN+MoE_RAW_R2,0.12607073783874512,0.17882399260997772,6.007789611816406,0.10633760965704685
VAE-IN+MoE_RAW_R3,0.10869467258453369,0.4294969141483307,8.710886001586914,0.1005520328142792
VAE-IN+MoE_RAW_R4,0.08572214096784592,0.1544095277786255,4.836476802825928,0.061878242535113426
VAE-IN+MoE_RAW_R5,0.10025833547115326,0.2057115137577057,4.432374000549316,0.04300983833091577
VAE-IN+MoE_F_R2,0.08592694997787476,0.1698845475912094,5.876671314239502,0.12514529036470437
VAE-IN+MoE_F_R3,0.08571149408817291,0.3190602958202362,8.121660232543945,0.19239713907656372
VAE-IN+MoE_F_R4,0.07946516573429108,0.15937867760658264,4.858670234680176,0.13559864871614233
VAE-IN+MoE_F_R5,0.06434191018342972,0.18292951583862305,4.337331771850586,0.11810868284860059
VAE-IN+MoE_T_R2,0.06392660737037659,0.16190871596336365,5.518527984619141,0.1538296653144024
VAE-IN+MoE_T_R3,0.06797438114881516,0.31630939245224,7.8383612632751465,0.14789479414011095
VAE-IN+MoE_T_R4,0.053165070712566376,0.14978763461112976,4.425248622894287,0.18349505682672274
VAE-IN+MoE_T_R5,0.06670593470335007,0.17703230679035187,4.282413482666016,0.13059689481891418
VAE-CAT+MoE_RAW_R2,0.06531789153814316,0.16321898996829987,5.42099666595459,0.1669373529320097
VAE-CAT+MoE_RAW_R3,0.05989706143736839,0.31746208667755127,7.289333343505859,0.1230469927802745
VAE-CAT+MoE_RAW_R4,0.044395286589860916,0.14980748295783997,4.007779598236084,0.08196912723989153
VAE-CAT+MoE_RAW_R5,0.05335124954581261,0.17873771488666534,3.6731128692626953,0.09308870333302977
VAE-CAT+MoE_F_R2,0.03828441724181175,0.15713800489902496,4.678182601928711,0.08250471374473614
VAE-CAT+MoE_F_R3,0.03142816573381424,0.36801356077194214,6.542509078979492,0.09355373201681573
VAE-CAT+MoE_F_R4,0.03325973451137543,0.1525217443704605,3.5973775386810303,0.07006001867221977
VAE-CAT+MoE_F_R5,0.03065807931125164,0.16763658821582794,3.1042168140411377,0.06603525968708736
VAE-CAT+MoE_T_R2,0.04019233211874962,0.1561211794614792,4.633021354675293,0.07805674316921879
VAE-CAT+MoE_T_R3,0.02634342946112156,0.30207589268684387,5.8486714363098145,0.07342705106350433
VAE-CAT+MoE_T_R4,0.023004893213510513,0.1479690968990326,2.9792325496673584,0.055592272879946766
VAE-CAT+MoE_T_R5,0.03427457809448242,0.17247657477855682,3.1881847381591797,0.05754131507076231
DEC-IN+MoE_RAW_R2,0.14052213728427887,0.1930377185344696,5.839402675628662,0.062098234262182674
DEC-IN+MoE_RAW_R3,0.10402391105890274,0.4370536804199219,8.510814666748047,0.08631230266900923
DEC-IN+MoE_RAW_R4,0.08745227754116058,0.16690346598625183,5.081679344177246,0.05072701360936522
DEC-IN+MoE_RAW_R5,0.09845821559429169,0.20558412373065948,4.278332233428955,0.031217057488268234
DEC-IN+MoE_F_R2,0.15047308802604675,0.19739261269569397,6.489398002624512,0.08954251783744516
DEC-IN+MoE_F_R3,0.0975642055273056,0.33904311060905457,7.976905345916748,0.13851575580684206
DEC-IN+MoE_F_R4,0.08574272692203522,0.16064029932022095,4.897998809814453,0.057172408462212526
DEC-IN+MoE_F_R5,0.08714727312326431,0.18489836156368256,4.408037185668945,0.08007314877305126
DEC-IN+MoE_T_R2,0.11867347359657288,0.1812177300453186,5.700602054595947,0.0872057676705346
DEC-IN+MoE_T_R3,0.08792482316493988,0.362093985080719,7.631205081939697,0.11645582694746112
DEC-IN+MoE_T_R4,0.07759666442871094,0.15732094645500183,4.6768879890441895,0.06433009363368589
DEC-IN+MoE_T_R5,0.07927855849266052,0.177071213722229,4.049423694610596,0.07499884391173511
DEC-CAT+MoE_RAW_R2,0.07754698395729065,0.1730325073003769,6.060756683349609,0.07297571418533189
DEC-CAT+MoE_RAW_R3,0.07478286325931549,0.3468840420246124,8.093404769897461,0.06407171299743783
DEC-CAT+MoE_RAW_R4,0.05440865457057953,0.15052296221256256,3.9014811515808105,0.045126785008356395
DEC-CAT+MoE_RAW_R5,0.09120965003967285,0.20546074211597443,4.316058158874512,0.03451876002435533
DEC-CAT+MoE_F_R2,0.09124597162008286,0.1746586114168167,6.267893314361572,0.1309128416401028
DEC-CAT+MoE_F_R3,0.08556731790304184,0.4687255024909973,8.047341346740723,0.09144532761709792
DEC-CAT+MoE_F_R4,0.06869299709796906,0.15673676133155823,4.847076416015625,0.057952253666512035
DEC-CAT+MoE_F_R5,0.06209302321076393,0.1791762262582779,4.323282241821289,0.05612541124595862
DEC-CAT+MoE_T_R2,0.06052891165018082,0.1643933206796646,5.795255661010742,0.10221859585280607
DEC-CAT+MoE_T_R3,0.05663999170064926,0.3502647280693054,7.040102481842041,0.07326083333963264
DEC-CAT+MoE_T_R4,0.03837718814611435,0.15502411127090454,3.9096434116363525,0.05197218670018186
DEC-CAT+MoE_T_R5,0.04841790720820427,0.173137828707695,3.515240430831909,0.04966720705039971
