,Name,Reconstruction error,Adversarial error,Rotational error,Sum of rotation angle x,Sum of rotation angle y,Avg Sum position cost x,Avg Sum position cost y,Avg Sum rotation cost x,Avg Sum rotation cost y
75,Transfer_VAE-CAT+MoE_RAW_R1,0.06142955645918846,0.15280897915363312,5.7900776863098145,37.51278015760684,5.41209109446964,198.13697814941406,72.8990707397461,368.3214416503906,435.2315368652344
76,Transfer_VAE-IN+MoE_RAW_R1,0.11160153895616531,0.15178658068180084,6.256765842437744,17.36878428169638,5.41209109446964,216.7764892578125,72.8990707397461,377.4921875,435.2315368652344
77,Transfer_AE+LSTM_F_R1,0.08231707662343979,0.15901345014572144,5.823955535888672,19.663299886119706,5.41209109446964,193.87969970703125,72.8990707397461,362.19873046875,435.2315368652344
78,Transfer_AE+LSTM_T_R1,0.06928557902574539,0.155796080827713,5.217206001281738,14.593442645657905,5.41209109446964,185.6775665283203,72.8990707397461,354.0972595214844,435.2315368652344
79,Transfer_AE+MoE_F_R1,0.03472795709967613,0.15685194730758667,4.435756683349609,10.381902640932408,5.41209109446964,196.51397705078125,72.8990707397461,403.0244140625,435.2315368652344
80,Transfer_AE+MoE_T_R1,0.043845344334840775,0.16302791237831116,4.944127559661865,8.956679368403174,5.41209109446964,178.5320587158203,72.8990707397461,416.870849609375,435.2315368652344
81,Transfer_DEC-CAT+MoE_F_R1,0.08160897344350815,0.17672008275985718,5.97918176651001,19.316643182525258,5.41209109446964,211.1243896484375,72.8990707397461,370.7314147949219,435.2315368652344
82,Transfer_DEC-CAT+MoE_T_R1,0.05191231891512871,0.15959088504314423,5.619396686553955,14.845601814534731,5.41209109446964,197.9672393798828,72.8990707397461,398.5595397949219,435.2315368652344
83,Transfer_DEC-IN+MoE_F_R1,0.12718228995800018,0.17909984290599823,6.298985004425049,13.022931388467365,5.41209109446964,211.25054931640625,72.8990707397461,361.0274353027344,435.2315368652344
84,Transfer_DEC-IN+MoE_T_R1,0.10548234730958939,0.17158979177474976,5.72277307510376,11.883158821451028,5.41209109446964,182.02259826660156,72.8990707397461,348.3063049316406,435.2315368652344
85,Transfer_RBF-CAT+LSTM_T_R1,0.06698965281248093,0.1648794710636139,5.244248390197754,15.766470824032467,5.41209109446964,183.523681640625,72.8990707397461,353.7283935546875,435.2315368652344
86,Transfer_RBF-CAT+LSTM_F_R1,0.07944002747535706,0.15874747931957245,5.576080322265625,18.799270073868232,5.41209109446964,201.9734344482422,72.8990707397461,368.7835998535156,435.2315368652344
87,Transfer_RBF-IN+LSTM_F_R1,0.12030891329050064,0.17275121808052063,5.509245872497559,13.82733271822167,5.41209109446964,202.6317596435547,72.8990707397461,354.6484375,435.2315368652344
88,Transfer_RBF-IN+LSTM_T_R1,0.1098877340555191,0.17029818892478943,5.323957443237305,12.877983579552897,5.41209109446964,197.0077667236328,72.8990707397461,349.8730163574219,435.2315368652344
89,Transfer_RBF-CAT+MoE_F_R1,0.03002006746828556,0.15720103681087494,5.02298641204834,10.825366277824696,5.41209109446964,184.30601501464844,72.8990707397461,387.7979431152344,435.2315368652344
90,Transfer_RBF-CAT+MoE_T_R1,0.04522895812988281,0.15362368524074554,5.326809406280518,9.397034564130516,5.41209109446964,188.8448028564453,72.8990707397461,426.2162170410156,435.2315368652344
91,Transfer_RBF-IN+MoE_F_R1,0.12236686050891876,0.1749453842639923,6.035218715667725,12.201067317669573,5.41209109446964,195.330322265625,72.8990707397461,353.2300720214844,435.2315368652344
92,Transfer_RBF-IN+MoE_T_R1,0.10464198887348175,0.1635245829820633,5.305216312408447,13.744151767744894,5.41209109446964,196.326171875,72.8990707397461,365.4926452636719,435.2315368652344
93,Transfer_VAE-CAT+LSTM_T_R1,0.07463206350803375,0.17318648099899292,5.321788311004639,20.19116107179625,5.41209109446964,191.9868621826172,72.8990707397461,384.7870178222656,435.2315368652344
94,Transfer_VAE-CAT+LSTM_F_R1,0.08844459801912308,0.170940101146698,5.81499719619751,25.18583942375514,5.41209109446964,190.87591552734375,72.8990707397461,361.675537109375,435.2315368652344
95,Transfer_VAE-IN+LSTM_F_R1,0.1350264847278595,0.2096911370754242,5.5987138748168945,17.544394712909003,5.41209109446964,216.19219970703125,72.8990707397461,353.6456604003906,435.2315368652344
96,Transfer_VAE-IN+LSTM_T_R1,0.1133955642580986,0.16797511279582977,5.319573402404785,22.509900850582003,5.41209109446964,183.521484375,72.8990707397461,362.8045349121094,435.2315368652344
97,Transfer_VAE-CAT+MoE_F_R1,0.03261176124215126,0.1563929170370102,5.102950572967529,15.669793949103562,5.41209109446964,191.2551727294922,72.8990707397461,417.379150390625,435.2315368652344
98,Transfer_VAE-CAT+MoE_T_R1,0.031117018312215805,0.15049141645431519,4.9853515625,14.141577400387146,5.41209109446964,193.2377471923828,72.8990707397461,418.0147705078125,435.2315368652344
99,Transfer_VAE-IN+MoE_F_R1,0.07071315497159958,0.16489507257938385,6.007183074951172,23.890246091131235,5.41209109446964,195.6449432373047,72.8990707397461,354.2359313964844,435.2315368652344
100,Transfer_VAE-IN+MoE_T_R1,0.05808368697762489,0.1665489226579666,5.730053424835205,32.9470521768525,5.41209109446964,204.4447784423828,72.8990707397461,376.4456481933594,435.2315368652344
101,Transfer_AE+LSTM_RAW_R2,0.09915152937173843,0.3752261698246002,7.6493239402771,25.623092077626318,5.0203226096789635,375.45062255859375,210.19300842285156,733.7539672851562,756.2600708007812
102,Transfer_AE+MoE_RAW_R2,0.0673518180847168,0.36837995052337646,8.062378883361816,10.574355474635128,5.0203226096789635,383.44488525390625,210.19300842285156,741.925537109375,756.2600708007812
103,Transfer_DEC-CAT+MoE_RAW_R2,0.06688452512025833,0.37074923515319824,7.902718544006348,8.570673542247238,5.0203226096789635,375.0782470703125,210.19300842285156,732.6875610351562,756.2600708007812
104,Transfer_DEC-IN+MoE_RAW_R2,0.09959126263856888,0.3839157819747925,8.021871566772461,11.688701600685734,5.0203226096789635,380.88641357421875,210.19300842285156,742.1119384765625,756.2600708007812
105,Transfer_RBF-IN+LSTM_RAW_R2,0.10500449687242508,0.37034228444099426,8.797093391418457,33.94454113169674,5.0203226096789635,382.7434387207031,210.19300842285156,734.9647827148438,756.2600708007812
106,Transfer_RBF-CAT+LSTM_RAW_R2,0.10407494753599167,0.3527863025665283,7.239133834838867,35.14503303513651,5.0203226096789635,383.477783203125,210.19300842285156,739.3292236328125,756.2600708007812
107,Transfer_RBF-CAT+MoE_RAW_R2,0.06231622397899628,0.360934853553772,8.359909057617188,9.818312268865744,5.0203226096789635,387.4021301269531,210.19300842285156,760.1229248046875,756.2600708007812
108,Transfer_RBF-IN+MoE_RAW_R2,0.10002175718545914,0.35940754413604736,7.7961907386779785,9.567961615405267,5.0203226096789635,378.6267395019531,210.19300842285156,734.3577270507812,756.2600708007812
109,Transfer_VAE-IN+LSTM_RAW_R2,0.1076916754245758,0.36241471767425537,8.547734260559082,45.22220070565943,5.0203226096789635,367.3602600097656,210.19300842285156,747.3665161132812,756.2600708007812
110,Transfer_VAE-CAT+LSTM_RAW_R2,0.10329166054725647,0.4059106111526489,7.614865779876709,26.35638981799063,5.0203226096789635,368.4753112792969,210.19300842285156,733.5996704101562,756.2600708007812
111,Transfer_VAE-CAT+MoE_RAW_R2,0.05678269639611244,0.4102115333080292,6.920928955078125,27.23056181537765,5.0203226096789635,379.17169189453125,210.19300842285156,758.0234375,756.2600708007812
112,Transfer_VAE-IN+MoE_RAW_R2,0.10527929663658142,0.377171128988266,8.836566925048828,16.71249621980991,5.0203226096789635,360.22308349609375,210.19300842285156,733.0881958007812,756.2600708007812
113,Transfer_AE+LSTM_F_R2,0.07148995250463486,0.3724690079689026,7.502266883850098,28.414726135603704,5.0203226096789635,388.5643310546875,210.19300842285156,739.988525390625,756.2600708007812
114,Transfer_AE+LSTM_T_R2,0.07244887948036194,0.3043026328086853,7.917325019836426,25.00415012827593,5.0203226096789635,368.2819519042969,210.19300842285156,749.5036010742188,756.2600708007812
115,Transfer_AE+MoE_F_R2,0.025393061339855194,0.292944073677063,5.287353992462158,9.246031059208413,5.0203226096789635,372.69439697265625,210.19300842285156,752.5455322265625,756.2600708007812
116,Transfer_AE+MoE_T_R2,0.02611621841788292,0.32394954562187195,5.906926155090332,9.75185979077364,5.0203226096789635,381.9938659667969,210.19300842285156,758.3052368164062,756.2600708007812
117,Transfer_DEC-CAT+MoE_F_R2,0.0777752622961998,0.43432682752609253,8.013444900512695,14.00552345356238,5.0203226096789635,362.8493347167969,210.19300842285156,743.2650146484375,756.2600708007812
118,Transfer_DEC-CAT+MoE_T_R2,0.05270499736070633,0.36827272176742554,7.299479007720947,10.74538333058505,5.0203226096789635,363.39892578125,210.19300842285156,762.5885009765625,756.2600708007812
119,Transfer_DEC-IN+MoE_F_R2,0.09245843440294266,0.33525270223617554,8.102093696594238,24.612033368929612,5.0203226096789635,380.754150390625,210.19300842285156,741.9923095703125,756.2600708007812
120,Transfer_DEC-IN+MoE_T_R2,0.08827529847621918,0.35984086990356445,7.552371501922607,20.172048877163004,5.0203226096789635,374.2569885253906,210.19300842285156,769.1748046875,756.2600708007812
121,Transfer_RBF-CAT+LSTM_T_R2,0.06557193398475647,0.33643385767936707,7.440662860870361,29.05726754000639,5.0203226096789635,378.15789794921875,210.19300842285156,746.38720703125,756.2600708007812
122,Transfer_RBF-CAT+LSTM_F_R2,0.06607342511415482,0.36699026823043823,7.370824337005615,27.676668414100543,5.0203226096789635,379.86285400390625,210.19300842285156,740.051025390625,756.2600708007812
123,Transfer_RBF-IN+LSTM_F_R2,0.10249006748199463,0.36861127614974976,8.500025749206543,35.88202785057059,5.0203226096789635,370.95013427734375,210.19300842285156,733.0782470703125,756.2600708007812
124,Transfer_RBF-IN+LSTM_T_R2,0.0952301099896431,0.31951847672462463,8.443902015686035,36.747301436120544,5.0203226096789635,376.49542236328125,210.19300842285156,743.7459716796875,756.2600708007812
125,Transfer_RBF-CAT+MoE_F_R2,0.029174311086535454,0.36517414450645447,5.288778781890869,11.396460739948788,5.0203226096789635,374.18365478515625,210.19300842285156,753.5880737304688,756.2600708007812
126,Transfer_RBF-CAT+MoE_T_R2,0.040238283574581146,0.34628918766975403,6.113952159881592,10.143801284397696,5.0203226096789635,384.32537841796875,210.19300842285156,749.0753784179688,756.2600708007812
127,Transfer_RBF-IN+MoE_F_R2,0.09560777246952057,0.2744579613208771,8.269704818725586,28.04014090829918,5.0203226096789635,370.02325439453125,210.19300842285156,734.42626953125,756.2600708007812
128,Transfer_RBF-IN+MoE_T_R2,0.08811292797327042,0.23694245517253876,8.234254837036133,20.673335818700778,5.0203226096789635,374.9926452636719,210.19300842285156,748.368408203125,756.2600708007812
129,Transfer_VAE-CAT+LSTM_T_R2,0.06536458432674408,0.3064775764942169,8.451021194458008,29.0228331245602,5.0203226096789635,382.7163391113281,210.19300842285156,752.446533203125,756.2600708007812
130,Transfer_VAE-CAT+LSTM_F_R2,0.0710000991821289,0.3671209514141083,7.580127239227295,32.11567878250443,5.0203226096789635,384.7912902832031,210.19300842285156,740.4034423828125,756.2600708007812
131,Transfer_VAE-IN+LSTM_F_R2,0.10498093068599701,0.5284208059310913,8.707646369934082,38.29386204621458,5.0203226096789635,369.44677734375,210.19300842285156,732.363037109375,756.2600708007812
132,Transfer_VAE-IN+LSTM_T_R2,0.09353144466876984,0.32994070649147034,7.9198079109191895,39.34590602955115,5.0203226096789635,377.8058776855469,210.19300842285156,734.24560546875,756.2600708007812
133,Transfer_VAE-CAT+MoE_F_R2,0.030483270063996315,0.3806918263435364,5.504510879516602,19.523578721794497,5.0203226096789635,379.76361083984375,210.19300842285156,755.6070556640625,756.2600708007812
134,Transfer_VAE-CAT+MoE_T_R2,0.02299867756664753,0.2643531560897827,5.221408367156982,13.609368221467312,5.0203226096789635,376.1220703125,210.19300842285156,752.373046875,756.2600708007812
135,Transfer_VAE-IN+MoE_F_R2,0.08351606875658035,0.268337219953537,7.720890522003174,44.40191119074674,5.0203226096789635,372.2960205078125,210.19300842285156,731.188232421875,756.2600708007812
136,Transfer_VAE-IN+MoE_T_R2,0.06042512506246567,0.4173213541507721,7.629527568817139,32.47137014159778,5.0203226096789635,380.6317138671875,210.19300842285156,744.504638671875,756.2600708007812
137,Transfer_AE+LSTM_RAW_R3,0.04436211287975311,0.15430417656898499,4.542181015014648,10.369191757808387,4.105272700795454,307.6878662109375,133.0214080810547,402.2928466796875,405.52386474609375
138,Transfer_AE+MoE_RAW_R3,0.029460355639457703,0.13857676088809967,3.2180306911468506,4.045141811116773,4.105272700795454,305.58636474609375,133.0214080810547,409.5814208984375,405.52386474609375
139,Transfer_DEC-CAT+MoE_RAW_R3,0.02811160311102867,0.136135533452034,2.764005661010742,4.3807192488378455,4.105272700795454,300.50494384765625,133.0214080810547,412.2999267578125,405.52386474609375
140,Transfer_DEC-IN+MoE_RAW_R3,0.04318491369485855,0.15842922031879425,4.345709800720215,2.6866059084659466,4.105272700795454,305.33740234375,133.0214080810547,406.5306396484375,405.52386474609375
141,Transfer_RBF-IN+LSTM_RAW_R3,0.042108774185180664,0.15452617406845093,4.212910175323486,11.01939933096166,4.105272700795454,306.75390625,133.0214080810547,404.87530517578125,405.52386474609375
142,Transfer_RBF-CAT+LSTM_RAW_R3,0.0418483205139637,0.15140199661254883,4.526284694671631,12.288894632196486,4.105272700795454,306.5032958984375,133.0214080810547,401.44488525390625,405.52386474609375
143,Transfer_RBF-CAT+MoE_RAW_R3,0.03157543018460274,0.1433899849653244,3.4590532779693604,5.721480314320939,4.105272700795454,301.2618103027344,133.0214080810547,422.1894226074219,405.52386474609375
144,Transfer_RBF-IN+MoE_RAW_R3,0.03975408896803856,0.15334011614322662,3.785972833633423,3.5026806691174466,4.105272700795454,307.09222412109375,133.0214080810547,408.53912353515625,405.52386474609375
